index,name,hv_bus,lv_bus,sn_mva,vn_hv_kv,vn_lv_kv,std_type,pfe_kw,i0_percent
0,T_TBA 500kV _TBA 220kV ,0,3,450.0,500.0,220.0,450 MVA 500/220 kV,150.0,0.04
1,T_TBA 500kV _TBA 220kV ,0,5,450.0,500.0,220.0,450 MVA 500/220 kV,150.0,0.04
2,T_TBA 500kV _TBA 220kV ,1,10,450.0,500.0,220.0,450 MVA 500/220 kV,150.0,0.04
3,T_TBA 500kV _TBA 220kV ,1,6,450.0,500.0,220.0,450 MVA 500/220 kV,150.0,0.04
4,T_TBA 500kV _TBA 220kV ,2,4,450.0,500.0,220.0,450 MVA 500/220 kV,150.0,0.04
5,T_TBA 500kV _TBA 220kV ,2,3,450.0,500.0,220.0,450 MVA 500/220 kV,150.0,0.04
6,T_TBA 220k_TBA 110k,4,12,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
7,T_TBA 220k_TBA 110k,4,13,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
8,T_TBA 220k_TBA 110k,5,14,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
9,T_TBA 220k_TBA 110k,5,15,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
10,T_TBA 220k_TBA 110k,5,16,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
11,T_TBA 220k_TBA 110k,7,17,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
12,T_TBA 220k_TBA 110k,5,18,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
13,T_TBA 220k_TBA 110k,4,19,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
14,T_TBA 220k_TBA 110k,5,20,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
15,T_TBA 220k_TBA 110k,5,21,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
16,T_TBA 220k_TBA 110k,5,22,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
17,T_TBA 220k_TBA 110k,3,23,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
18,T_TBA 220k_TBA 110k,3,24,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
19,T_TBA 220k_TBA 110k,3,25,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
20,T_TBA 220k_TBA 110k,3,26,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
21,T_TBA 220k_TBA 110k,5,27,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
22,T_TBA 220k_TBA 110k,5,28,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
23,T_TBA 220k_TBA 110k,10,29,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
24,T_TBA 220k_TBA 110k,8,30,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
25,T_TBA 220k_TBA 110k,8,31,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
26,T_TBA 220k_TBA 110k,8,32,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
27,T_TBA 220k_TBA 110k,8,33,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
28,T_TBA 220k_TBA 110k,4,34,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
29,T_TBA 220k_TBA 110k,4,35,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
30,T_TBA 220k_TBA 110k,4,36,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
31,T_TBA 220k_TBA 110k,4,37,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
32,T_TBA 220k_TBA 110k,4,38,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
33,T_TBA 220k_TBA 110k,4,39,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
34,T_TBA 220k_TBA 110k,4,40,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
35,T_TBA 220k_TBA 110k,4,41,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
36,T_TBA 220k_TBA 110k,7,42,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
37,T_TBA 220k_TBA 110k,7,43,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
38,T_TBA 220k_TBA 110k,7,44,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
39,T_TBA 220k_TBA 110k,6,45,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
40,T_TBA 220k_TBA 110k,10,46,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
41,T_TBA 220k_TBA 110k,6,47,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
42,T_TBA 220k_TBA 110k,10,48,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
43,T_TBA 220k_TBA 220k,10,49,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
44,T_TBA 220k_TBA 110k,10,50,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
45,T_TBA 220k_TBA 110k,10,51,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
46,T_TBA 220k_TBA 110k,10,52,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
47,T_TBA 220k_TBA 110k,4,53,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
48,T_TBA 220k_TBA 110k,3,54,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
49,T_TBA 220k_TBA 110k,11,55,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
50,T_TBA 220k_TBA 110k,3,56,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
51,T_TBA 220k_TBA 110k,3,57,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
52,T_TBA 220k_TBA 110k,11,58,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
53,T_TBA 220k_TBA 110k,11,59,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
54,T_TBA 220k_TBA 110k,3,60,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
55,T_TBA 220k_TBA 100k,3,61,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
56,T_TBA 220k_TBA 110k,9,62,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
57,T_TBA 220k_TBA 110k,11,63,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
58,T_TBA 220k_TBA 110k,9,64,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
59,T_TBA 220k_TBA 110k,10,65,125.0,220.0,115.0,125 MVA 220/110 kV,80.0,0.05
60,T_TBA 110kV Trần _22kV,12,66,63.0,110.0,23.0,63 MVA 110/22 kV,35.0,0.04
61,T_TBA 110kV E1.18_22kV,13,67,63.0,110.0,23.0,63 MVA 110/22 kV,35.0,0.04
62,T_TBA 110kV Văn C_22kV,14,68,40.0,110.0,23.0,40 MVA 110/22 kV,35.0,0.04
